product_id,name,link,price,cost,sold,score
16597875094,ZIFRIEND Keycap Bộ Bàn Phím 35 Phím OEM | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-Keycap-B%E1%BB%99-B%C3%A0n-Ph%C3%ADm-35-Ph%C3%ADm-OEM-i.753476551.16597875094?sp_atk=5f5a0cee-132f-4c29-b0dc-455e47ea8fbd&xptdk=5f5a0cee-132f-4c29-b0dc-455e47ea8fbd,₫49.000,₫49.000,"3
Đã Bán", 
19579293265,ZIFRIEND ZA68 Bàn Phím Cơ RGB Hotswp Màu Hồng Tím Tuyến Tính | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-ZA68-B%C3%A0n-Ph%C3%ADm-C%C6%A1-RGB-Hotswp-M%C3%A0u-H%E1%BB%93ng-T%C3%ADm-Tuy%E1%BA%BFn-T%C3%ADnh-i.753476551.19579293265?sp_atk=44e15718-3c19-48c3-952d-5857e6db6313&xptdk=44e15718-3c19-48c3-952d-5857e6db6313,₫579.000 - ₫889.000,₫939.813 - ₫999.999,"132
Đã Bán",4.9/5.0
16888552845,ZIFRIEND Nút bàn phím 116 phím trong suốt cho bàn phím cơ | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-N%C3%BAt-b%C3%A0n-ph%C3%ADm-116-ph%C3%ADm-trong-su%E1%BB%91t-cho-b%C3%A0n-ph%C3%ADm-c%C6%A1-i.753476551.16888552845?sp_atk=fa165727-5834-40fd-9749-c47bff0afaf5&xptdk=fa165727-5834-40fd-9749-c47bff0afaf5,₫272.000 - ₫299.000,₫542.810,"680
Đã Bán",4.9/5.0
16656566387,ZIFRIEND 10Pcs nút chuyển đổi bàn phím cơ 3 chấu không gây tiếng ồn | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-10Pcs-n%C3%BAt-chuy%E1%BB%83n-%C4%91%E1%BB%95i-b%C3%A0n-ph%C3%ADm-c%C6%A1-3-ch%E1%BA%A5u-kh%C3%B4ng-g%C3%A2y-ti%E1%BA%BFng-%E1%BB%93n-i.753476551.16656566387?sp_atk=0c3ad5d6-1103-4c0b-a4f2-b3b89769b021&xptdk=0c3ad5d6-1103-4c0b-a4f2-b3b89769b021,₫21.000,₫40.000,"1k
Đã Bán",5.0/5.0
23175722337,Zifriend pink pixel keycap 133-key cherry pbt bàn phím cơ học keycap | Shopee Việt Nam,https://shopee.vn/Zifriend-pink-pixel-keycap-133-key-cherry-pbt-b%C3%A0n-ph%C3%ADm-c%C6%A1-h%E1%BB%8Dc-keycap-i.753476551.23175722337?sp_atk=84086c67-a9b6-4ce8-96ed-2c005e35a06a&xptdk=84086c67-a9b6-4ce8-96ed-2c005e35a06a,₫279.000,₫369.000,"0
Đã Bán", 
21754697295,ZIFRIEND 10Pcs/Set nút bàn phím cơ Clicky Linear Tactile RGB MX 3 chấu không gây tiếng ồn | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-10Pcs-Set-n%C3%BAt-b%C3%A0n-ph%C3%ADm-c%C6%A1-Clicky-Linear-Tactile-RGB-MX-3-ch%E1%BA%A5u-kh%C3%B4ng-g%C3%A2y-ti%E1%BA%BFng-%E1%BB%93n-i.753476551.21754697295?sp_atk=4ca68933-05a6-4c0f-907b-95e6c0bbbe5e&xptdk=4ca68933-05a6-4c0f-907b-95e6c0bbbe5e,₫43.000 - ₫45.000,₫77.293,"127
Đã Bán",5.0/5.0
16555895534,ZIFRIEND Dây Cáp Bàn Phím Cơ USB Type C Chất Lượng Cao | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-D%C3%A2y-C%C3%A1p-B%C3%A0n-Ph%C3%ADm-C%C6%A1-USB-Type-C-Ch%E1%BA%A5t-L%C6%B0%E1%BB%A3ng-Cao-i.753476551.16555895534?sp_atk=3bad6aea-de70-4948-943e-2e590693bbdd&xptdk=3bad6aea-de70-4948-943e-2e590693bbdd,₫169.000 - ₫209.000,₫209.040 - ₫263.754,"551
Đã Bán",4.9/5.0
23349364885,ZIFRIEND Bàn Phím Cơ 144 Phím XDA In Hình Chú Chó Cinnamon Đáng Yêu | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-B%C3%A0n-Ph%C3%ADm-C%C6%A1-144-Ph%C3%ADm-XDA-In-H%C3%ACnh-Ch%C3%BA-Ch%C3%B3-Cinnamon-%C4%90%C3%A1ng-Y%C3%AAu-i.753476551.23349364885?sp_atk=f22220f0-c3a3-4dcd-a13f-d4feb59de1da&xptdk=f22220f0-c3a3-4dcd-a13f-d4feb59de1da,₫299.000,₫409.000,"2
Đã Bán",5.0/5.0
19680965698,ZIFRIEND Set 10 Công Tắc Bàn Phím Cơ Trong Suốt 3 Chấu RGB | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-Set-10-C%C3%B4ng-T%E1%BA%AFc-B%C3%A0n-Ph%C3%ADm-C%C6%A1-Trong-Su%E1%BB%91t-3-Ch%E1%BA%A5u-RGB-i.753476551.19680965698?sp_atk=2ac3e5af-9580-4bfb-81e9-86b1fb1e4de2&xptdk=2ac3e5af-9580-4bfb-81e9-86b1fb1e4de2,₫49.000,₫70.699 - ₫71.000,"18
Đã Bán",5.0/5.0
19236243798,ZIFRIEND Dụng cụ tháo nút bàn phím cơ thông dụng cao cấp | Shopee Việt Nam,https://shopee.vn/ZIFRIEND-D%E1%BB%A5ng-c%E1%BB%A5-th%C3%A1o-n%C3%BAt-b%C3%A0n-ph%C3%ADm-c%C6%A1-th%C3%B4ng-d%E1%BB%A5ng-cao-c%E1%BA%A5p-i.753476551.19236243798?sp_atk=7e5019ec-d497-438a-afec-f0a187373184&xptdk=7e5019ec-d497-438a-afec-f0a187373184,₫23.000,₫30.302,"43
Đã Bán",5.0/5.0
